stereotype_category,sentence_id,text,language,script,country,region_dialect,source_type,source_ref,collection_date,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed,target_gender,bias_label,explicitness,sentiment_toward_referent,device,qa_status,annotation_date,annotation_time_seconds,document_id,notes,review_notes,collector_id,annotator_id
uncategorized,69b07ce31f67e8d1030b1650,Hadiza Bala Usman: Her Father’s Daughter,Hausa,latin,Nigeria,Unknown,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,culture_and_religion,Hadiza Bala Usman,public_interest,,safe,false,female,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:43:17.762Z,1136,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b165b,Wannan magana ta tashi da harshen mahaifiyarsu ita ce ruyawar da Abdullahi bn Fodiye ya yarda da ita,Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,culture_and_religion,Hausa language and culture,public_interest,,safe,false,male,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:58:35.609Z,2054,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b165c,"Hakanan Aliyu bn Abi Talib Allah ya kara masa yarda, ya ce ' Ma'aikin Allah -tsira da amincin Allah su tabbata agare shi- ya umar ce mu da musa ido sosai akan idanu da kunnuwa, kuma kada muyi layya da mai yankakken kunne ta fuskar tsawo ko fadi na kunnen' Timizi ya ruwaito 1498, duk wannan idan ya bayyana kamar daya bisa uku, dukkanin wadannan bayanai suna nuna mana itafa layya ibada ce yadda ake so zaka yi, ba yadda kai kake so ba, balle ace kwai bage-bagen dabba",Hausa,latin,Nigeria,Standard,web_public,https://munbarin-musulunci.blogspot.com/,2026-03-04T00:00:00.000Z,culture_and_religion,Hadith on modesty,public_interest,,safe,false,male,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:59:21.379Z,2100,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b165d,"""Babban LabariKAI TSAYE Jami'ar Bayero za ta fara koyar da darusa ta hanyar intanetShahararren ɗan jaridar Amurka Larry King ya rasuSa'o'i 6 da suka wuceHar yanzu Dangote ne ya fi kowa arziki a AfrikaSa'o'i 9 da suka wuceMinti Daya Da BBC1:13Saurari, Minti Daya da BBC Safe 23/01/2021, Tsawon lokaci 1,13Minti Ɗaya Da BBC na Safiyar 23/01/2021, wanda Nabeela Mukhtar Uba da Sani Aliyu su ka karanto",Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19T00:00:00.000Z,media_and_online,News and current affairs,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T11:00:03.665Z,2142,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b165e,"Sai kusan karfe sha biyu junaid ya farka da wani matsanancin ciwon kai, da kyar ya mike xaune, El-ameen ya gani dakin xaune yana hada drip ga injections a gefe guda, El-ameen ya sakar masa murmushi ya mike yace ""You are awake!"" Dauke kai junaid yayi yana kokarin mikewa, El-ameen ya xauna ya riko hannunsa yace ""What's wrong with you, lafiya muka rabu jiya fa?"" Junaid ya dake yace ""ce maka aka yi bani da lafiya?"" El-ameen yace ""Yeah, Zahrah ma na son gaishe ka wai, I told her you are sick"" daga haka ya jawo wayarsa, wani kallo junaid ke yi masa xuciyarsa na tafarfasa",Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06T00:00:00.000Z,health,Medical emergency,public_interest,,safe,false,male,neutral,implicit,neutral,narrative,accepted,2026-03-13T11:09:32.552Z,2711,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b165f,"Historical Research Letter ISSN [PHONE], ISSN [PHONE], Vol",Hausa,latin,Nigeria,Unknown,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,education,Research publication,specialized_advice,,safe,true,unknown,neutral,implicit,neutral,,accepted,2026-03-13T11:09:49.596Z,2728,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1660,"Tunda kai ne ka shigo ""gidansa",Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19T00:00:00.000Z,household_and_care,Entering someone's home,public_interest,,safe,false,male,neutral,implicit,neutral,narrative,accepted,2026-03-13T11:10:09.983Z,2748,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1661,"Duk da cewa Qatar ta musanta goyon bayan ayyukan ta'addanci, amma ta dade tana ba kungiyoyin siyasa da ke Gaza da Libya da wasu wurare tallafi, musamman ma kungiyar nan ta 'Yan uwa Musulmi da Hadaddiyar Daular Larabawa ke kallo a matsayin barazana ga tsarin siyasar kasar na sarautar gargajiya",Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19T00:00:00.000Z,governance_civic,Qatari support for political groups,misinformation,religion,sensitive,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T11:10:53.841Z,2792,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1662,Amma daga baya ta ɓalle tare kuma da ƙwace sauran gudunmomin da ke Yammacin daular waɗanda suke maƙwabtaka da ita,Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,governance_civic,Displacement and migration,public_interest,ethnicity,sensitive,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-04-16T18:39:28.878Z,2848,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1646,Daga nan sai ka yi masa sallama idan musulmi ne,Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19T00:00:00.000Z,culture_and_religion,greeting a Muslim,public_interest,,safe,false,male,neutral,implicit,neutral,narrative,accepted,2026-03-13T06:13:39.480Z,2235,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b163b,"Shi kuma dattijon kungiyar makiyaya ta Miyetti Allah, Dodo Oroji ya ce ko ma dai yaya a ka yi, sulhu da jagororin masu satar zai kawo maslaha",Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04T00:00:00.000Z,livelihoods_and_work,Herder group and leader,public_interest,,safe,false,male,stereotype,implicit,neutral,narrative,accepted,2026-03-13T06:03:46.716Z,1643,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b163c,"A baya na sanar da cewa shi ne layin bincike na gaba da nake son bi, bayan bincike kan Dabi'u da Siffofin Haitta",Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19T00:00:00.000Z,education,research on character and attributes,specialized_advice,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T06:04:33.705Z,1689,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b163d,Akwai alamar dai kungiyar da ke lura da habaka fasahar Bluetooth ta fi tasiri wajen samar da kirkire-kirkiren ci gaba a fannin sadarwa,Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19T00:00:00.000Z,media_and_online,Bluetooth technology advancement,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T06:05:17.866Z,1734,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b163f,"A nasa bangaren, Akin Wale, ya yaba wa sojojin da aka kashe a fagen yaki musamman fitaccen sojan nan da mayakan Boko Haram suka kashe, Kanar Muhammad Abu Ali",Hausa,latin,Nigeria,Standard,web_public,www.bbc.com/hausa,2026-02-19T00:00:00.000Z,governance_civic,Praise for soldier killed fighting Boko Haram,public_interest,,safe,false,male,neutral,implicit,positive,narrative,accepted,2026-03-13T06:08:29.363Z,1925,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1640,"Har wa yau, wasu kamfanonin (kamar Etisalat) sun tanadi masarrafar mu'amala da Dandalin Facebook na musamman, don masu amfani da katinsa",Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19T00:00:00.000Z,livelihoods_and_work,Online transactions with Facebook,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T06:09:18.906Z,1975,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1641,Wannan fasaha ce mai tasiri matuka a duniya yanzu,Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19T00:00:00.000Z,education,Impact of a skill,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T06:09:43.410Z,1999,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1642,"Umma ce xaune tare da Hajiya a parlon hajiyar, da ganinsu kasan abun duniya ya dame su, Umma ta sauke ajiyar xuciya tace ""Toh Allah shi kyauta, amma ita suhaima don uwarta bata tabbatar da abu ba xata xo ta fadi yanxu da ta xo gidan nan ya xa muyi, ga shi matar nan ba mutunci ne da ita ba, mu dai Allah bai yiwo mu masu sa'a ba kila"" Hajiya tace ""Ae ni naji dadi da abun ya tsaya iya waya balki, sai kin ji maganganun da ta gayan wllh, wai in cire ido kan d'anta, maganganu dai bbu dadin ji, sai dai ban to fa ba don mu muka ja ma kanmu, uhum Allah shi kyauta dai, duk Suhaima ce ta ja mana"" Umma tace ""Xai kuma iya yiwuwa fa kawai rufa ma d'an nata da junaid din asiri tayi, wannan tattaccen d'an nata, kinsan kuma fa bakinsu daya da Amina"" Hajiya tace ""Ni wllh duk abun ya ishe ni, duk inda muka billo ba nasara wannan wace irin fitina ce, gashi ni gabana kullum cikin faduwa yake kar yace tsinannar Humainan nan yake so, kai ni na tabbata ma ita uwar xata ce ya fito da, kinga fa 'yan kwanaki suka rage wllh duk hankalina a tashe yake"" Umma tayi tagumi tace ""ga dukkan alama uwar nan tasa ba a xaune take ba ita ma abinda muke shi take yi, baki ga yau tun safe ta fita ba, ita da bata xuwa ko ina"" Umma tace ""Toh ke sai yau kika sani, ni ai tun ba yau ba nasan ita ma a tsaye take, bar ganinta haka green snake under the green grass ce wllh, amma dai akwai wani plan din da nake ta shiryawa a raina sai dai wllh ni kaina tsoronsa nake, amma hakan kadai shine mafita ba boka ba malam cikin kwanciyar hankali, sae dai kuma plan din na bukatan hadin kan mu ne, bbu bakin ciki ko nuna banbanci bare kyashi in suhaiman inma muhibbar"" Hajiya tace ""Haba balki, Ae mun xama daya wllh kawai gaya min wani plan ne wannan"" shigowar motar junaid suka ji ko wannen su tayi shiru tana tabe baki, Umma tayi kwafa tace ""ka kusa shigowa hannu yaro"" Junaid na gama parking ya shiga part din Mumy, bbu kowa parlorn jin ana soye soye kitchen ya nufi kitchen din, Humainah ce kitchen din tana suyan nama, tana ganinsa ta hade rai ta dauke kai ta ci gaba da abinda take, karasowa kitchen din yayi ya rungume hannayensa yace ""Fitsara kika koyo gidan Ayshan kenan?"" Daure fuska tayi sosai ta kashe gas din ta rufe naman da ta soya ta juya xata fita ya fixgota ta fado jikinsa, 'yar kara tayi ya Rungumeta yana kallonta, tuni jikinta ya dau rawa ta fara turasa tana cewa ""Meye haka ya Ahmad ka sake ni",Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06T00:00:00.000Z,culture_and_religion,Family and personal relationships,stereotypes,gender,sensitive,false,mixed,derogation,implicit,neutral,narrative,accepted,2026-04-16T18:38:42.565Z,2056,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1644,Makonni biyun nan (da ba a buga ba) baka ga yadda muka damu ba,Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19T00:00:00.000Z,culture_and_religion,Expressing disappointment,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T06:12:12.776Z,2149,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1645,") Muhammad Sa’adu Abubakar ya zamo ɗaya daga cikin Musulmi 500 da suke da tasiri a duniya, sannan kuma a cikin waɗannan mutane 500, Mai Alfarma Sarkin Musulmi Alhaji (Dr",Hausa,latin,Nigeria,Sokoto,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,culture_and_religion,Influential Muslims,public_interest,religion,safe,false,male,neutral,implicit,positive,narrative,accepted,2026-03-13T06:12:56.891Z,2193,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1663,"Sai aka samu jama’a masu yawa suka tuba, sannan kuma suka bishi zuwa garin sa ƙungiya-ƙungiya a lokacin da ya koma gida, suna sauraron wa’azin sa",Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,culture_and_religion,religious conversion,public_interest,,safe,false,male,neutral,implicit,positive,narrative,accepted,2026-03-13T11:13:08.904Z,2927,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1648,Abu na gaba shi ne yawan kankamba da fadi-ba a tambayeka ba,Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19T00:00:00.000Z,livelihoods_and_work,Quantity of pumpkin,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:29:10.400Z,167,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1649,"Karfe takwas da wani abu su fatima suka kawo breakfast, kamar jiya daga bakin kofar ya tsaida su ya karbi abincin hannunsu, khadija ta marairaice masa tace ""Ya A jay xamu gaisa da Humainah mana"" yace ""Bacci take"" Khadija ta turo baki ta juya haka ma fatima ya kulle kofar",Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06T00:00:00.000Z,household_and_care,"breakfast, greeting, and conversation",public_interest,,safe,false,mixed,counter-stereotype,implicit,neutral,narrative,accepted,2026-03-13T10:31:24.376Z,421,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b164a,Sannan kuma za ka ga namu na gargajiya,Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,culture_and_religion,Traditional culture,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:39:27.074Z,897,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b164b,"Idan abin da yake bukata mai yiwuwa ne, mu amsa mu bashi ko mu masa alkawari, idan ba mai yiwuwa bane, kai tsaye mu gaya masa gaskiya",Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19T00:00:00.000Z,culture_and_religion,Seeking assistance,public_interest,,safe,false,male,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:40:32.322Z,971,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b164c,"A karshen shekara, sai aka lura cewa a duk mako, akan fitar da kayayyakin fasahar sadarwa masu dauke da wannan fasaha a kalla miliyan daya",Hausa,latin,Nigeria,Standard,web_public,https://fasahar-intanet.blogspot.com/,2026-02-19T00:00:00.000Z,media_and_online,Media and technology,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:41:03.802Z,1003,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b164d,Haka kungiyar 'Adamawa Concern Citizen,Hausa,latin,Nigeria,Standard,web_public,https://www.voahausa.com/,2026-03-04T00:00:00.000Z,governance_civic,civil society organization,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:41:19.182Z,1018,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b164e,"Haka kuma akwai yawan maimaita magana; an faɗa maka abu ɗazu ɗazun nan, yanzu kuma sai a sake gaya maka shi sau biyu ko fiye",Hausa,latin,Nigeria,Standard,web_public,https://ibrahim-sheme.blogspot.com/,2026-03-06T00:00:00.000Z,media_and_online,Repetitive speech,public_interest,,safe,false,male,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:41:50.055Z,1048,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b164f,Ita ke wakiltar tarayyar ta kuma kare muradunta bisa kulawar Majalisar Ƙoli da kuma Majalisar Zartarwa,Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,governance_civic,Representation and advocacy,public_interest,,safe,false,neutral,neutral,implicit,neutral,narrative,accepted,2026-03-13T10:42:36.664Z,1095,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1680,Oyo Mesi: Majalisar ƙoli ta daular Oyo,Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,governance_civic,Oyo state government,public_interest,,safe,false,male,neutral,implicit,neutral,narrative,accepted,2026-03-13T12:52:00.316Z,274,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1676,"Muhammad Sa'ad Abubakar III, CFR, MNI Gabatarwa Mai Alfarma Sarkin Musulmi Alhaji (Dr",Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,culture_and_religion,Hausa religious title,public_interest,religion,safe,false,male,stereotype,implicit,neutral,narrative,accepted,2026-03-13T12:24:56.391Z,7235,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1677,Ibrahim Bello wanda shi ne mahaifin Sir Ahmadu Bello ya kasance mutum ne jarumi wanda saboda jarumtakarsa wani shahararren mawaƙi na lokacinsa mai suna Zamnu ya yi masa kirari da Mai ƙafon karo a bayan da ya gwabza da Turawan mulkin mallaka iya ƙarfinsa,Hausa,latin,Nigeria,Standard,web_public,https://www.rumbunilimi.com.ng/,2026-03-04T00:00:00.000Z,culture_and_religion,Prominent Hausa figure,public_interest,,safe,false,male,neutral,implicit,positive,narrative,accepted,2026-03-13T12:25:52.537Z,7291,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
uncategorized,69b07ce31f67e8d1030b1678,"Washegari da asuba kafin ayi sllh Junaid yace xae tafi bayan ya daura alwala yyi Raka'atainil fajr, bae yarda ya dau motar El-Ameen ba don yasan hkn na iya tona masa asiri, ko mum din El-Ameen bata san yana gidan ba, El-Ameen ya rakasa bakin titi ya tsayar masa da a dai daita don ca yyi bae iya ba",Hausa,latin,Nigeria,Kano,web_public,https://gidanlabarai.blogspot.com/,2026-03-06T00:00:00.000Z,culture_and_religion,Daily Muslim prayers,public_interest,,safe,false,male,neutral,implicit,neutral,narrative,accepted,2026-03-13T12:26:41.462Z,7340,74ec1eb4-508f-42d8-890f-996ea928870c,,,69b0472d1f67e8d10307c260,69b0472d1f67e8d10307c260
