language,script,country,region_dialect,source_type,source_ref,collection_date,text,domain,topic,theme,sensitive_characteristic,safety_flag,pii_removed
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Ibẹ ni wọn ti gbami si ile, wọn bami jo ara mi pẹlu omi gbigbona, wọn si fun mi lounjẹ ati aṣọ.",household_and_care,Bathing and Dressing,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Orukọ ilu naa ni Langta ni ijọba ibilẹ Patigi, ilu yii ni mo ti raye pe ile.'' Ní asiko ti BBC News Yoruba ṣe ifọrọwanilẹwo pẹlu arabinrin yii ni ọjọ kẹtadinlogun osu yii, ko tii dara pọ mọ awọn ẹbi rẹ ni ilu Isapa.",culture_and_religion,Hometown and residence,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Ṣe ni wọn ṣẹsẹ gbe wa si ilu Ilorin lati Patigi ni.",livelihoods_and_work,Travel to Ilorin,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c1m7ygel03no,2026-01-29,"Iwadii fihan pe oun nikan loku tí wọn n reti ninu awọn mọkanla to sa kuro ni akata awọn ajinigbe.",culture_and_religion,Yoruba proverbs or sayings,public_interest,,safe,true
yoruba,latin,Nigeria,Oyo,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Oríṣun àwòrán, Ademola AdelekeXBBC Ariyanjiyan si n lọ laarin Gomina Ademola Adeleke ati ẹgbẹ oṣelu APC lori asiko to yẹ kawọn alaga ati kansilọ ijọba ibilẹ to wọle labẹ asia APC lo ni ọfiisi.",governance_civic,Political debate,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Gomina Adeleke sọ pe saa awọn alaga atawọn kansilọ APC naa ti pari wi pe bi wọn tun ṣe wa nipo lodi sofin.",governance_civic,Yoruba politics,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Ẹwẹ, ẹgbẹ oṣelu APC naa da a pada fun gomina wi pe ko si ohun to jẹ bẹẹ rara.",governance_civic,politics,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Ni oṣu Kewaa ọdun 2022 ni awọn eeyan ipinlẹ Osun dibo yan awọn alaga atawọn kansilọ ijọba ibilẹ labẹ asia ẹgbẹ oṣelu APC.",governance_civic,Osun state election,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Amọ, gomina Adeleke tu wọn ka lẹyin ti ile ẹjọ giga apapọ wọgile eto idibo to gbe awọn alaga atawọn kansilọ naa wọle.",governance_civic,Elections and government,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Lẹyin naa lawọn alaga atawọn kansilọ naa morile ile ẹjọ kotẹmilọrun lati le pada sipo wọn.",governance_civic,Legal proceedings,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Lẹyin o rẹyin, ile ẹjọ kotẹmilọrun dawọn pada sipo wọn loṣu Keji ọdun 2025 to kọja.",governance_civic,court decision,public_interest,,safe,true
yoruba,latin,Nigeria,Ijebu,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Dipo ki wọn pada si ọfiisi wọn lawọn ijọba ibilẹ, awọn alaga atawọn kansilọ PDP tuntun ti wọn jawe olubori ninu eto idibo ti ijọba Gomina Adeleke ṣagbatẹru rẹ ni ijọba ipinlẹ Osun ṣe iburawọle fun.",governance_civic,political election,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"End of Èyítí A  Kà Jùlọ Bayii ni aawọ bẹ silẹ lẹyin tawọn alaga atawọn kansilọ ẹgbẹ mejeeji faake kọri pe awọn lo yẹ ki awọn wa lawọn ọfiisi ijọba ibilẹ l'Osun.",governance_civic,government offices,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Lati asiko yii lawọn oṣiṣẹ ijọba ibilẹ labẹ asia ẹgbẹ NULGE ti gunle iyanṣẹlodi ti ijọba apapọ naa si gbẹsẹ le owo oṣooṣu to yẹ ko maa lọ si apo gbogbo ijọba ibilẹ nipinlẹ Osun.",governance_civic,Local government worker protest,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Àjáàbalẹ̀ ìròyìn BBC News Yorùbá lórí WhatsApp rẹ End of podcast promotion Gomina Adeleke duro lori ẹsẹ rẹ pe lati osu Kẹwaa ọdun 2025 ni saa awọn alaga atawọn kansilọ APC ti pari.",media_and_online,BBC News Yorùbá WhatsApp promotion,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Adeleke sọ pe fifun awọn ijọba ibilẹ ni ominira ko tumọ si gbigbẹsẹ le owo ijọba ibilẹ to wa fun sisan owo oṣu awọn oṣiṣẹ eleto ilera, awọn olukọ atawọn oṣiṣẹfẹyinti.",governance_civic,government funding for health workers,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"''Ijọba mi lo ti n sanwo oṣu fawọn oṣiṣẹ ijọba ibilẹ lati ọjọ yii wa.",governance_civic,government payment,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"To ba jẹ wi pe loootọ ni a wa ni ijọba awarawa, ko yẹ kawọn ti araalu ko dibo yan si maa wa lọfiisi lawọn ijọba ibilẹ.",governance_civic,governance and elections,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Ẹnikẹni ko lagbara lati fi ọjọ kan ṣoṣo kun saa rẹ lọfiisi labẹ ijọ awarawa to fẹsẹ mulẹ.",livelihoods_and_work,Workplace rules,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Bi bẹẹ kọọ, wọn yoo fọwọ ofin mu iru ẹni bẹẹ, o si le dero ẹwọn.",governance_civic,legal consequences,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Awọn agbofinro ko ni daabo bo awọn ti araalu ko dibo yan tabi awọn ti saa wọn ba ti pari nibi ti ijọba awarawa ba ti fẹsẹ mulẹ.",governance_civic,Political participation,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Bi ẹgbẹ oṣelu APC ṣe morile ile ẹjọ lati beere fun afikun saa awọn alaga atawọn kansilọ wọn ti won fawọn ọlọpaa lati ma daabo bo wọn.",governance_civic,Political party legal action,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Ṣe lo yẹ kawọn agbofinro faye gbawọn alaga atawọn kansilọ ti araalu dibo yan lati bọ si ọfiisi wọn lawọn ijọba ibilẹ,'' Adeleke lo sọ bẹẹ.",governance_civic,Local government officials election,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Adari eto iroyin fun ẹgbẹ oṣelu APC, Kola Olabisi, ti fesi lorukọ ẹgbẹ oṣelu naa sọrọ ti Gomina Adeleke sọ.",governance_civic,Political party statement,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Ọgbẹni Olabisi sọ pe gomina n ṣi awọn araalu lọna ni pẹlu nnkan to n sọ wi pe saa awọn alaga atawọn kansilọ APC ti pari.",governance_civic,Yoruba political affairs,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Adari eto iroyin fun ẹgbẹ oṣelu APC ni irọ to jinna si ootọ ni Gomina Adeleke n pa.",governance_civic,Yoruba politics,misinformation,ethnicity,sensitive,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"''Ni ṣe lo yẹ ki Gomina Adeleke sọ otitọ ati nnkan to wa nibi ọrọ naa wi pe oun ni o lo agbara lati yọ awọn alaga atawọn kansilọ APC ti araalu dibo yan nipo lai fun wọn lanfaani lati wa ojutuu si ọrọ naa nile ẹjọ.",governance_civic,Political speech,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Bakan naa lo yẹ ki gomina tun sọ fawọn eeyan wi pe ile ẹjọ kotẹmilọrun lo dawọn alaga atawọn kansilọ naa pada sipo wọn lọjọ kẹwaa oṣu Keji ọdun 2025.",governance_civic,Gubernatorial reinstatement,public_interest,,safe,true
yoruba,latin,Nigeria,Oyo,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Lara awọn irọ ti gomina tun pa ni pe awọn alaga atawọn kansilọ APC n wa afikun saa ti wọn yoo lo nipo, tori ẹjọ to wa niwaju ile ẹjọ giga apapọ ilu Osogbo da lori bawọn alaga atawọn kansilọ APC yoo ṣe lo ọdun mẹta to yẹ ki wọn lo.",governance_civic,Yoruba politics,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Nnkan mii to tun yẹ ki gomina sọ fawọn araalu ni pe awọn alaga atawọn kansilọ APC n beere lọwọ ile ẹjọ bo ya o tọna labẹ ofin fun ijọba Gomina Adeleke lati ṣe eto idibo ijọba ibilẹ mii l'Osun nigba ti saa awọn alaga atawọn kansilọ to wa nipo ko tii pari,'' Ọgbẹni Olabisi ṣalaye.",governance_civic,Local government election,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/ce9ypem23k2o,2026-01-29,"Amọ, Gomina Adeleke si duro lori ẹsẹ rẹ pe saa awọn alaga atawọn kansilọ APC ti pari lati oṣu kẹwaa ọdun 2025.",governance_civic,Governor Adeleke's actions,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Oríṣun àwòrán, Bayo Onanuga Ninu igbiyanju rẹ lati mu eto ọrọ aje, eto aabo, igbaye-gbadun ati bẹẹ bẹẹ lọ waye fun awọn ọmọ orilẹede Naijiria ni Aarẹ Bola Tinubu ṣe tẹkọ leti lọ si orilẹede Trkiye, eyi ti olu ilu naa jẹ Ankara.",governance_civic,Bayo Onanuga's efforts for Nigeria,public_interest,,safe,true
yoruba,latin,Nigeria,Lagos,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Ọjọ Iṣẹgun ana ni irinajo naa han si awọn eeyan miran ti ko kọbi ara si i tẹlẹ, ohun to si fa a ni bi Aarẹ Tinubu ṣe yọ to si ṣubu laaarin awọn eeyan niluu naa.",governance_civic,Political event,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Eyi ni ọpọ eeyan ri lori ayelujara ti wọn si bẹrẹ si I sọrọ nipa rẹ.",media_and_online,internet usage,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Bawọn kan ṣe n sọ pe agba lo n da Aarẹ Naijiria laamu, ni awọn miran n sọ pe eyi kọ ni igba akọkọ ti Aarẹ yoo ṣubu.",governance_civic,Yoruba presidency,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Bẹẹ ni awọn miran n sọ pe ọrọ Naijiria ni Tinubu ko sokan to bẹẹ, to fi gbera gba Turkey lọ, ati pe ka ki I, ka si yin in fun iṣẹ takun-takun to n ṣe ki Naijiria le ṣẹgun awọn iṣoro rẹ.",governance_civic,Yoruba political commentary,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Ṣugbọn ni ti ododo, Aarẹ Tinubu ko ba awẹwa lọ silẹẹ Trkiye, adehun onikoko mẹsan lo tọwọ bọwe rẹ pẹlu Aarẹ orilẹede naa ti i ṣe Recep Tayyip Erdogan, lọjọ Iṣẹgun ana.",governance_civic,Aarẹ Tinubu meeting with President Erdogan,public_interest,,safe,true
yoruba,latin,Nigeria,Lagos,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Oríṣun àwòrán, Bayo Onanuga Nibi ipade oniroyin to waye lẹyin iṣẹlẹ to gbe Aarẹ Tinubu jade, o ṣe awọn ojuṣe to tori ẹ wa niluu naa, koda, ileeṣẹ Aarẹ ilẹ wa fi atẹjade sita pe ṣaka ni ara Aarẹ da, kinni kan ko mu un lẹyin iṣubu naa.",media_and_online,Media event,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Oludamọran pataki fun Aarẹ Tinubu lori ikede, Bayo Onanuga, kede pe idokowopọ ti ko din ni biliọnu marun-un owo dọla 5billion ni Aarẹ ilẹ Turkiye, Erdogan, n foju sọna si lati ba Naijiria ṣe.",governance_civic,Government announcement,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"End of Èyítí A  Kà Jùlọ Awọn adehun yoku ni : Gẹgẹ bi alaye Aarẹ ilẹ Turkiye, Recep Erdogan, o ni anfaani tuntun ni ajọṣepọ ilẹ naa pẹlu Naijiria yoo mu ba orilẹede wa.",governance_civic,New economic opportunity,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Yoo tun mu ki idokoowo Turkey gbooro si I ni Naijiria.",livelihoods_and_work,Travel to Turkey,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"O ni ajọṣepọ naa yoo mu ki 5 billion ti afojusun wa fun wa si imuṣẹ lẹka idokowo.",livelihoods_and_work,financial planning,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Bakan naa ni yoo mu ẹka aabo dara si i.",culture_and_religion,Helping and protection,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Erdogan ṣaleri atilẹyin fun Naijiria lati gbogun ti igbesunmọmi, paapaa lawọn apa Sahel.",governance_civic,Nigerian politics,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Bakan naa lo ni ajọṣepọ yii yoo mu ki esi rere wa lati ẹka epo rọbi Naijiria.",livelihoods_and_work,oil industry cooperation,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Itẹsiwaju yoo ba ẹka ẹkọ paapaa bo ṣe wi, bẹẹ ni awọn eeyan yoo le da duro ni abala idagbasoke ti wọn ba yan.",governance_civic,Development goals,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Aarẹ Tinubu ninu alaye rẹ, sọ pe Naijiria yoo maa tẹsiwaju lati gbe alaafia ga, bẹẹ ni ilẹ Africa yoo duro giri, bo tilẹ jẹ pe idojukọ eto aabo wa fun un.",governance_civic,Tinubu's remarks on Nigeria's future,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Oríṣun àwòrán, Getty Images Bo tilẹ jẹ pe eyi ko dun mọ ẹnikẹni lati royin, ṣugbọn eegun to ba ti jade ti kuro ni a ki I wo o.",media_and_online,Image source,public_interest,,safe,true
yoruba,latin,Nigeria,Lagos,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Nibi awọn eto ita gbangba lorilẹede yii, Aarẹ Tinubu ti ṣubu ri ti kamẹra si gbe e, to kari ayelujara.",governance_civic,President Tinubu,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Akọkọ iru iṣẹlẹ bẹẹ ni eyi to waye nipinlẹ Kaduna loṣu kẹta ọdun 2021, lasiko to n ṣọna lati di aarẹ Naijiria nigba yẹn.",governance_civic,Kaduna state event in 2021,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Ilu Abuja ni iṣubu keji ti waye, ni 2024.",governance_civic,Abuja as second capital,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Ayẹyẹ ọdun kẹẹẹdọgbọn ijọba awarawa ni Naijiria n sami rẹ lọjọ naa, ti ẹsẹ Aarẹ Tinubu fi tase akasọ kan to si ṣubu ni gbagede Eagle Square, niluu Abuja.",culture_and_religion,Independence Day celebration,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Aarẹ fi ọrọ naa dapara lẹyin-o-rẹyin, o ni ọmọ ibilẹ Yoruba loun, oun dọbalẹ bii ikini abinibi ni.",culture_and_religion,Yoruba identity and customs,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Iṣubu ẹlẹẹkẹta si ni ti Turkey to n ja ran-in nilẹ lọwọ, to waye lọjọ kẹtadinlọgbọn, oṣu Kin-in-ni ọdun 2026.",governance_civic,Turkey-Nigeria military cooperation,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Iṣubu ko kan ẹya, bẹẹ ni ko kan ọjọ ori tabi ipo ti eeyan wa, ẹni to ba ti jẹ ẹlẹran ara le ṣubu lai ri ọgbọn da si i.",health,Accident and injury,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Wọnyi lawọn aarẹ to ti ṣubu ni gbagede aye ri yatọ si Tinubu 1.",governance_civic,Political Leaders,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Joe Biden USA: O ṣubu lasiko to fẹẹ wọ baaluu ni 2021.",governance_civic,Joe Biden USA,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Vladimir Putin Russia: Nigba to n ṣere idaraya lorii yinyin lo ṣubu ni 2019.",governance_civic,Vladimir Putin and Russia,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Emmanuel Macron France: Okun kan lo kọ ọ lẹsẹ, o si ṣubu lasiko abẹwo rẹ si ileeṣẹ kan ni 2020.",governance_civic,Emmanuel Macron visit to France,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Boris Johnson UK: O ṣubu sinu omi lasiko to fẹẹ fo omi to darogun kan ni 2019.",governance_civic,Boris Johnson's fall,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Muhammadu Buhari Nigeria: O ṣubu lasiko to n sọkalẹ ninu ọkọ ni 2017.",governance_civic,Muhammadu Buhari's car accident,public_interest,,safe,true
yoruba,latin,Nigeria,Standard,web_public,https://www.bbc.com/yoruba/articles/c9dv32jqv4no,2026-01-28,"Donald Trump USA: O yọ ṣubu nigba to fẹ wọ ọkọ ofurufu ologun ni 2017.",governance_civic,Donald Trump and airplane incident,public_interest,,safe,true
